,Importance
D_51_Max_12,0.007534324
B_38_3.0_Ever_Response_12,0.0056705126
D_114_0.0_Ever_Response_12,0.018938983
D_114_1.0_Ever_Response_6,0.0075342883
D_114_1.0_Ever_Response_12,0.015860852
D_117_-1.0_Ever_Response_12,0.018377852
D_120_1.0_Ever_Response_6,0.008006255
D_126_1.0_Ever_Response_6,0.0064573595
P_2,0.056788705
D_42,0.007905943
D_44,0.015397659
B_8,0.020222431
D_51,0.010606017
B_9,0.01428372
R_3,0.005505479
D_58,0.0066562667
B_19,0.0066699637
B_20,0.017713616
B_22,0.007825571
D_70,0.011423265
B_33,0.007060718
S_23,0.0052358825
R_27,0.005925569
